ID, X, Y,Z,first_z, last_z, VOL, INTENSITY, TEXTURE, CONVEXITY, SHAPE, ECCENTRICITY, BENDING_ENERGY, RADIUS_VAR, INSIDE_GRAD, BORDER_GRAD, PERI, SHARE_BORDER, ORIENTATION, INT_RATIO, DEPTH, POLARS, STDV, SKEW, ENERGY, ENTROPY, MIN_CURV, MED_CURV, PCNT_CONCAVITY
 188, 164, 733, 67, 56, 79, 2823.00, 61.00, 41.37, 0.98, 1.14, 2.19, 1.67, 2.86, 20.01, 26.40, 1118.00, 0.02, 0.98, 0.81, 24.00, 1.00, 11.99, 0.37, 113612.00, 0.00, 0.00, 0.00, 0.00
 189, 180, 736, 65, 58, 73, 698.00, 63.00, 45.13, 0.00, 0.64, 0.00, 0.00, 1.68, 22.18, 33.69, 360.00, 0.02, 0.00, 0.84, 16.00, 1.00, 11.41, 0.51, 5562.00, 0.00, 0.00, 0.00, 0.00
 190, 296, 738, 33, 25, 42, 962.00, 61.00, 41.62, 1.55, 0.75, 1.78, 1.61, 1.77, 19.87, 27.16, 471.00, 0.00, 1.57, 0.83, 18.00, 1.00, 10.97, 0.39, 11219.00, 0.00, 0.00, 0.00, 0.00
 191, 393, 740, 102, 94, 113, 1958.00, 63.00, 38.39, 1.12, 0.64, 1.11, 0.98, 1.71, 18.92, 31.56, 716.00, 0.00, 0.39, 0.81, 20.00, 1.00, 11.58, 0.37, 58312.00, 0.00, 0.00, 0.00, 0.00
 192, 310, 742, 104, 93, 113, 1441.00, 60.00, 41.33, 1.07, 0.93, 2.07, 1.40, 2.30, 19.37, 28.22, 658.00, 0.01, 1.96, 0.83, 21.00, 1.00, 10.62, 0.32, 26490.00, 0.00, 0.00, 0.00, 0.00
 193, 55, 748, 113, 108, 120, 467.00, 59.00, 50.02, 0.00, 0.61, 0.00, 0.00, 1.24, 23.36, 25.38, 271.00, 0.00, 0.00, 0.83, 13.00, 2.00, 11.68, -0.03, 1853.00, 0.00, 0.00, 0.00, 0.00
 194, 307, 761, 104, 95, 113, 1473.00, 57.00, 46.34, 1.07, 0.81, 1.27, 1.87, 1.52, 20.74, 25.84, 643.00, 0.00, 1.77, 0.84, 19.00, 1.00, 11.91, 0.64, 29382.00, 0.00, 0.00, 0.00, 0.00
 195, 406, 765, 146, 141, 149, 415.00, 55.00, 42.56, 0.00, 0.43, 0.00, 0.00, 0.79, 18.55, 18.14, 226.00, 0.00, 0.00, 0.88, 9.00, 1.00, 9.22, 0.43, 1257.00, 0.00, 0.00, 0.00, 0.00
 196, 95, 768, 115, 109, 122, 803.00, 49.00, 40.81, 1.53, 0.59, 1.51, 1.56, 1.12, 15.86, 23.03, 376.00, 0.08, 0.20, 0.94, 14.00, 1.00, 7.86, 0.30, 11525.00, 0.00, 0.00, 0.00, 0.00
 197, 393, 777, 145, 141, 149, 367.00, 54.00, 35.28, 0.00, 0.44, 0.00, 0.00, 0.81, 15.17, 19.37, 212.00, 0.00, 0.00, 0.90, 9.00, 1.00, 7.98, 0.66, 1333.00, 0.00, 0.00, 0.00, 0.00
 198, 93, 780, 114, 98, 127, 2501.00, 64.00, 39.44, 1.08, 1.30, 1.85, 1.59, 3.80, 19.72, 28.82, 1081.00, 0.03, 1.57, 0.78, 30.00, 2.00, 12.00, 0.22, 79775.00, 0.00, 0.00, 0.00, 0.00
 199, 104, 784, 102, 89, 116, 2613.00, 66.00, 46.08, 1.04, 1.16, 1.98, 1.54, 2.88, 23.76, 32.40, 1050.00, 0.07, 1.77, 0.77, 28.00, 1.00, 14.56, 0.43, 74349.00, 0.00, 0.00, 0.00, 0.00
 200, 13, 789, 129, 121, 138, 792.00, 59.00, 38.65, 0.00, 0.64, 0.00, 0.00, 1.98, 18.08, 31.77, 393.00, 0.00, 0.00, 0.88, 18.00, 2.00, 9.10, 0.35, 9075.00, 0.00, 0.00, 0.00, 0.00
 201, 30, 797, 141, 134, 149, 1058.00, 54.00, 41.42, 1.14, 0.88, 1.51, 2.75, 1.73, 17.67, 27.78, 526.00, 0.00, 2.95, 0.91, 16.00, 1.00, 8.78, 0.07, 15041.00, 0.00, 0.00, 0.00, 0.00
 202, 214, 799, 53, 45, 62, 1017.00, 59.00, 37.44, 1.85, 0.74, 1.86, 1.51, 1.82, 17.53, 29.15, 489.00, 0.06, 2.75, 0.86, 18.00, 1.00, 8.85, 0.19, 15509.00, 0.00, 0.00, 0.00, 0.00
 203, 397, 800, 145, 140, 149, 423.00, 51.00, 31.52, 0.00, 0.45, 0.00, 0.00, 0.79, 12.78, 20.79, 230.00, 0.00, 0.00, 0.93, 10.00, 1.00, 5.38, 0.24, 2498.00, 0.00, 0.00, 0.00, 0.00
 204, 225, 802, 53, 44, 63, 1106.00, 69.00, 47.80, 0.00, 0.69, 0.00, 0.00, 2.14, 26.08, 37.55, 498.00, 0.03, 0.00, 0.77, 20.00, 2.00, 16.82, 0.95, 11817.00, 0.00, 0.00, 0.00, 0.00
 205, 234, 813, 54, 46, 63, 1190.00, 61.00, 42.46, 1.14, 0.78, 1.69, 1.14, 1.94, 20.41, 31.65, 548.00, 0.00, 0.00, 0.85, 18.00, 1.00, 11.30, 0.65, 18708.00, 0.00, 0.00, 0.00, 0.00
 206, 214, 816, 55, 46, 64, 1190.00, 60.00, 35.15, 1.75, 0.66, 1.10, 0.93, 1.76, 16.70, 30.03, 516.00, 0.00, 0.39, 0.86, 19.00, 2.00, 8.90, 0.02, 23351.00, 0.00, 0.00, 0.00, 0.00
 207, 50, 818, 139, 134, 146, 387.00, 58.00, 36.90, 0.00, 0.75, 0.00, 0.00, 1.62, 16.85, 30.87, 250.00, 0.00, 0.00, 0.92, 13.00, 1.00, 8.09, 0.07, 1292.00, 0.00, 0.00, 0.00, 0.00
 208, 124, 820, 124, 113, 138, 1779.00, 63.00, 43.79, 1.40, 0.85, 1.45, 1.68, 2.60, 21.90, 27.54, 742.00, 0.03, 0.79, 0.76, 26.00, 2.00, 13.75, 0.41, 37760.00, 0.00, 0.00, 0.00, 0.00
 209, 395, 823, 103, 97, 111, 736.00, 58.00, 42.44, 1.64, 0.76, 2.39, 1.67, 1.71, 19.47, 24.39, 385.00, 0.00, 0.20, 0.84, 15.00, 1.00, 11.79, 0.68, 5135.00, 0.00, 0.00, 0.00, 0.00
 210, 5, 824, 119, 108, 131, 645.00, 75.00, 52.86, 0.00, 0.87, 0.00, 0.00, 3.33, 31.26, 41.49, 383.00, 0.00, 0.00, 0.85, 24.00, 2.00, 16.82, 0.86, 3191.00, 0.00, 0.00, 0.00, 0.00
 211, 114, 824, 133, 125, 139, 491.00, 52.00, 36.29, 0.00, 0.62, 0.00, 0.00, 1.65, 14.95, 21.18, 277.00, 0.05, 0.00, 0.93, 15.00, 2.00, 6.69, 0.02, 3528.00, 0.00, 0.00, 0.00, 0.00
