ID, X, Y,Z,first_z, last_z, VOL, INTENSITY, TEXTURE, CONVEXITY, SHAPE, ECCENTRICITY, BENDING_ENERGY, RADIUS_VAR, INSIDE_GRAD, BORDER_GRAD, PERI, SHARE_BORDER, ORIENTATION, INT_RATIO, DEPTH, POLARS, STDV, SKEW, ENERGY, ENTROPY, MIN_CURV, MED_CURV, PCNT_CONCAVITY
 137, 15, 592, 117, 107, 130, 1275.00, 64.00, 42.95, 3.15, 0.89, 2.08, 1.69, 2.97, 21.47, 26.17, 602.00, 0.00, 0.20, 0.78, 24.00, 2.00, 12.39, 0.69, 19050.00, 0.00, 0.00, 0.00, 0.00
 138, 188, 597, 50, 40, 61, 1061.00, 75.00, 45.10, 0.00, 0.94, 0.00, 0.00, 2.77, 26.44, 44.23, 537.00, 0.00, 0.00, 0.77, 22.00, 2.00, 14.48, 0.49, 9781.00, 0.00, 0.00, 0.00, 0.00
 139, 442, 602, 134, 130, 140, 481.00, 59.00, 40.25, 0.00, 0.55, 0.00, 0.00, 0.92, 18.64, 25.74, 261.00, 0.17, 0.00, 0.91, 11.00, 1.00, 9.52, 0.17, 2415.00, 0.00, 0.00, 0.00, 0.00
 140, 429, 603, 137, 125, 149, 1697.00, 78.00, 41.64, 3.89, 0.90, 1.44, 1.85, 3.11, 25.37, 34.42, 730.00, 0.10, 0.59, 0.72, 25.00, 2.00, 16.42, 0.13, 24434.00, 0.00, 0.00, 0.00, 0.00
 141, 437, 611, 141, 129, 149, 2754.00, 55.00, 41.69, 0.88, 1.47, 1.48, 4.23, 2.48, 17.98, 24.80, 1195.00, 0.04, 2.55, 0.93, 21.00, 1.00, 9.64, 0.36, 100078.00, 0.00, 0.00, 0.00, 0.00
 142, 220, 633, 35, 21, 50, 3946.00, 80.00, 56.99, 1.00, 0.91, 1.47, 1.24, 2.99, 36.30, 44.62, 1295.00, 0.00, 1.77, 0.70, 30.00, 1.00, 25.90, 0.80, 131979.00, 0.00, 0.00, 0.00, 0.00
 143, 93, 640, 81, 70, 93, 925.00, 83.00, 50.89, 0.00, 0.86, 0.00, 0.00, 2.95, 33.27, 45.41, 482.00, 0.03, 0.00, 0.74, 24.00, 2.00, 19.25, -0.02, 5426.00, 0.00, 0.00, 0.00, 0.00
 144, 102, 640, 85, 80, 91, 617.00, 48.00, 40.39, 8.53, 0.54, 1.33, 1.22, 0.91, 15.39, 22.64, 312.00, 0.10, 0.00, 0.98, 12.00, 1.00, 6.19, 0.29, 8116.00, 0.00, 0.00, 0.00, 0.00
 145, 234, 650, 38, 31, 47, 1180.00, 63.00, 35.90, 1.33, 0.75, 2.07, 1.17, 1.87, 17.83, 29.47, 535.00, 0.00, 1.18, 0.81, 17.00, 1.00, 10.46, 0.32, 18251.00, 0.00, 0.00, 0.00, 0.00
 146, 253, 654, 44, 33, 57, 2611.00, 63.00, 43.27, 1.04, 0.87, 1.39, 1.63, 2.55, 21.68, 27.82, 966.00, 0.02, 0.20, 0.78, 25.00, 2.00, 12.75, 1.17, 100387.00, 0.00, 0.00, 0.00, 0.00
 147, 113, 661, 132, 120, 146, 2661.00, 66.00, 43.13, 1.10, 0.82, 1.20, 1.41, 2.69, 22.26, 30.55, 953.00, 0.00, 0.59, 0.76, 27.00, 2.00, 14.22, 0.46, 91437.00, 0.00, 0.00, 0.00, 0.00
 148, 343, 663, 81, 74, 91, 921.00, 58.00, 39.05, 0.00, 0.64, 0.00, 0.00, 1.82, 17.97, 28.72, 439.00, 0.00, 0.00, 0.86, 18.00, 2.00, 10.00, 0.77, 13013.00, 0.00, 0.00, 0.00, 0.00
 149, 283, 668, 45, 40, 51, 1267.00, 52.00, 44.95, 1.05, 0.69, 1.35, 1.57, 1.07, 18.45, 21.81, 550.00, 0.12, 0.59, 0.92, 12.00, 1.00, 10.17, 0.73, 25097.00, 0.00, 0.00, 0.00, 0.00
 150, 233, 668, 47, 39, 55, 952.00, 70.00, 62.04, 2.01, 0.65, 1.53, 0.92, 1.57, 43.20, 40.68, 442.00, 0.04, 1.37, 0.76, 17.00, 1.00, 34.57, 3.75, 8657.00, 0.00, 0.00, 0.00, 0.00
 151, 268, 671, 35, 21, 51, 6085.00, 72.00, 46.85, 0.95, 0.95, 1.48, 1.93, 2.61, 26.79, 30.90, 1742.00, 0.02, 1.57, 0.70, 31.00, 1.00, 21.78, 0.83, 400025.00, 0.00, 0.00, 0.00, 0.00
 152, 326, 674, 69, 64, 75, 514.00, 64.00, 42.44, 0.00, 0.63, 0.00, 0.00, 1.25, 21.50, 30.57, 293.00, 0.00, 0.00, 0.85, 12.00, 1.00, 11.28, 0.49, 2580.00, 0.00, 0.00, 0.00, 0.00
 153, 242, 673, 38, 31, 44, 882.00, 64.00, 39.77, 1.72, 0.58, 1.38, 1.54, 1.05, 19.90, 22.98, 401.00, 0.04, 2.36, 0.85, 14.00, 1.00, 15.03, 1.08, 8176.00, 0.00, 0.00, 0.00, 0.00
 154, 247, 674, 54, 43, 69, 2090.00, 69.00, 49.14, 1.34, 1.03, 1.54, 1.31, 3.08, 27.08, 35.31, 870.00, 0.02, 2.36, 0.85, 27.00, 2.00, 17.93, 1.20, 42443.00, 0.00, 0.00, 0.00, 0.00
 155, 241, 676, 47, 40, 52, 649.00, 101.00, 47.43, 1.44, 0.67, 1.40, 1.23, 1.74, 37.71, 51.82, 348.00, 0.13, 1.57, 0.79, 13.00, 2.00, 22.65, 0.40, 2373.00, 0.00, 0.00, 0.00, 0.00
