1120	0.9894	0.6835	1.4	0.7901	180.8	253	68.89	247	821.5	0.7158	0	13.35	7620
1996	0.9804	0.3425	1.417	1.059	184.5	243.8	58.75	212	1948	0.7578	0.01549	269.8	5188
1675	0.9378	0.7583	1.5	1.091	159.8	234.8	71.37	237.9	958.1	0.6821	0.2556	2464	9515
1810	0.971	0.6538	1.813	1.155	178.4	252.1	64.46	228	1103	0.7089	0	68.42	8009
1097	0.9539	0.4253	1.611	1.03	185.4	227.1	81.03	214.9	1252	0.817	0.3	2346	4933
1340	0.9824	0.476	1.421	0.9803	203	250.7	73.09	214.8	1300	0.8104	0	224	5265
1493	0.9534	0.8772	1.467	0.7345	167.6	244.8	58.57	242	873.4	0.6859	0.09787	498.5	8237
972	0.973	0.7431	1.353	0.7155	174.8	237.8	77.41	240	886.3	0.7365	0.2232	946.8	7117
1255	0.9797	0.8209	1.333	0.8113	179.3	246.9	76.78	246.7	774.4	0.7271	0.0665	130.1	6659
1355	0.9869	0.4298	1.273	1.013	192.6	253.7	63.87	223.6	1380	0.7601	0	10.48	5748
1010	0.9768	0.6161	1.4	1.015	187.6	244.9	93.7	237.9	877.6	0.767	0.1838	474	6415
1035	0.9655	0.3885	1.667	1.34	179.7	246.2	73.82	237.4	1067	0.7309	0.1345	296.5	5935
978	0.9879	0.4678	1.667	0.6633	201.3	252.8	75.04	221.5	898.4	0.797	0	74.1	5374
2002	0.9795	0.831	2.077	0.6083	195.3	246.8	77.89	216.6	941.6	0.7925	0	558.3	6279
1232	0.9778	0.2087	1.556	0.6403	192.1	229.6	68.88	205.9	1424	0.8372	0	1622	3399
1752	0.9717	0.4637	1.579	0.7259	210.3	213	90.22	189.4	1452	0.9874	0	1743	2824
1367	0.9891	0.4738	1.647	0.5856	208.6	233.8	79.8	215.7	1188	0.8926	0	1058	3517
1592	0.969	0.181	1.304	1.263	196.7	218.3	64.95	194.6	1635	0.9016	0	1059	3025
3752	0.9317	1.039	1.722	0.9597	147.6	229.6	60.11	238.5	1292	0.6446	0.2693	2749	9269
573	0.9812	1.062	1.455	0.7413	210.9	249.5	74.15	241.3	475.3	0.8459	0	189.1	4246
572	0.9948	0.8364	1.286	0.7676	204.5	249.3	78.11	246.6	594.5	0.8209	0	303	4456
2147	0.9421	0.4697	1.591	0.7032	187.7	211.9	77.46	205.3	1850	0.8866	0	2826	4770
3651	0.9495	0.5545	1.385	0.7798	160.1	224.7	72.86	212.6	2282	0.7136	0	3955	9362
